year,price,mileage
2008,7.5,126.706
2009,16.689,0.92
2008,7.8,167.777
2019,18.7,25.468
2005,7.4,193.811
2021,23.79,22.635
2015,12.385,89.311
2021,52.99,4.297
2023,28.816,1.568
2010,9.832,90.626
2017,15.295,98.032
2022,25.59,23.521
2017,14.989,108.685
2021,21.25,12.835
2021,24.708,31.735
2019,23.17,24.571
2023,27,6.305
2013,9.4,169.15
2019,19.797,33.94
2016,14.988,90
2023,23.99,4.899
2013,10.95,107.239
2021,21.999,5.438
2016,11.998,120.348
2021,22.672,26.165
2024,25.2,2.211
2012,9.8,139.79
2021,22.863,22.196
2008,6.3,156.709
2008,7.285,122.547
2020,22.925,42.656
2017,14.995,112.187
2022,24.346,18.455
2018,14.197,80.861
2021,18.985,45.653
2020,19.313,101.296
2018,22.35,75.118
2012,9.277,120.923
2016,15.995,125.126
2020,21.2,59.834
2021,18.498,76.761
2021,25.988,4.968
2015,11,150.613
2022,25.961,22.192
2019,17.995,82.572
2020,21.803,43.648
2020,25.412,19.573
2009,6.495,134.869
2021,23.162,16.785
2019,20.99,55.458
2022,23.29,45.088
2021,21.5,43.594
2003,6.4,171.432
2005,8.99,68.714
2016,15.585,64.962
2019,21.647,46.235
2014,15.449,52.186
2021,21.902,12.043
2022,24.5,21.631
2017,17.499,60.901
2013,9.487,132.06
2021,24.988,10.616
2017,18.5,67.158
2017,14.785,95.318
2015,12.995,105.369
2020,22.978,17.236
2019,17.999,70.567
2009,7.99,115.189
2011,10.248,74.082
2021,23.489,33.176
2017,21,20
2019,24.995,61.921
2013,10.532,127.73
2021,22.99,28.175
2013,11.887,103.184
2023,29.665,15.139
2012,10.3,69
2019,23.697,17.055
2010,8.992,147.551
2021,22.993,25.741
2015,14.49,93.949
2012,10.8,95.502
2016,13,128.397
2009,8.4,131.522
2021,19.8,29.292
2015,12.584,94.242
2020,19.755,68.15
2020,27.709,9.847
2021,22.5,30.285
2018,14.985,59.997
2022,26.988,7.213
2021,23.988,32.085
2017,16.795,61.29
2013,11.564,94.588
2022,26.778,29.976
2020,18.988,100.619
2015,15.249,118.763
2020,20.998,57.32
2002,9.95,128.408
2018,19.35,50.79
2021,19.988,34.364
2014,14.385,61.845
2017,18.985,25.302
2021,22.988,25.113
2021,23.988,27.12
2016,16.485,74.971
2016,14.499,105.195
2020,19.449,50.343
2018,19.999,54.713
2013,6.995,192.716
2020,21.999,34.799
2021,25.229,44.474
2021,23.79,26.992
2015,11.485,87.495
2023,26.59,5.174
2014,13.846,90.122
2017,17.99,80.058
2013,10.988,103.061
2018,15.685,54.902
2013,10.998,106
2021,25.48,16.945
2021,26.988,23.223
2022,23.865,44.665
2022,24.761,25.157
2023,46.622,11.023
2010,7.99,139.764
2020,24.845,13.877
2024,29,3.567
2021,24.995,54.17
2013,14,87.305
2013,12.979,93.369
2020,23.5,35.964
2015,14.831,25.678
2021,22.899,32.931
2016,18.639,53.467
2018,17.5,72.648
2021,25.95,36.926
2018,15.985,56.125
2022,24.5,13.912
2023,26.518,44.805
2015,15.5,27
2015,11.99,94.137
2020,20.999,33.635
2019,19.765,59.804
2015,11.599,116.872
2017,17.785,55.592
2021,24.3,14.772
2014,14.977,81.135
2017,17.995,55.159
2021,21.631,34.925
2014,13.785,73.977
2016,14.101,123.037
2017,15.487,76.505
2012,8.488,133.029
2019,21,76.336
2018,23.365,55.323
2018,19.898,50.875
2019,18,73.981
2021,23.988,19.703
2016,17.785,62.022
2023,30.96,3.424
2013,9.999,138.349
2019,23.195,49.295
2021,22.3,38.475
2022,26.363,7.635
2020,23.499,5.351
2021,18.988,42.166
2022,24.5,23.019
2020,21.654,21.219
2018,11.985,156.315
2016,14.9,126.434
2013,9.5,149.146
2010,9.998,81.484
2020,18.1,55.149
2020,20.29,38.635
2017,15.9,97.209
2021,23.953,6.194
2016,19.66,27.829
2018,16.985,35.932
2023,30.995,0.646
2006,7.995,104.635
2023,23.999,27.228
2020,18.488,66.008
2010,7.49,100.26
2019,21.99,61.768
2023,47.985,0.07
2007,11.197,168.002
2023,25.499,4.031
2022,23.7,23.42
2019,19.73,44.071
2020,25.788,24.489
2019,18.95,54.697
2015,8.915,163.395
2017,15.985,69.4
2016,12.839,129.057
2012,8.6,184.221
2022,23.5,39.864
2016,12.271,149.852
2020,18.988,33.569
2009,8.961,132.283
2020,21.295,11.445
2018,15.285,88.972
2023,25.197,14.115
2016,17.128,90.592
2022,25.5,1.582
2020,19.444,26.548
2022,25.799,8.02
2005,7.4,115.789
2021,22.993,41.322
2022,23.304,41.051
2019,19.499,66.649
2013,12.788,135.001
2016,17.497,64.721
2022,24.2,22.768
2023,46.488,1.02
1992,1.2,200
2019,19.5,60.117
2023,27.792,21.493
2020,22.876,20.422
2016,13.9,88.39
2022,22.993,44.648
2017,15.49,99.399
2021,21.988,16.951
2010,8.49,113.806
2021,23.988,26.26
2003,5.499,152.772
2011,8.49,138.179
