year,price,mileage
2015,16.995,81.437
2020,17.39,124.533
2019,21.95,52.015
2019,20.788,80.167
2019,21.98,27.318
2021,27.995,10.313
2019,14.95,142.526
2015,12.25,104.714
2020,25,24.825
2021,24.581,42.939
2019,20,31.064
2023,32.99,10.651
2015,15.73,86.477
2021,23.5,61.135
2020,23.442,45.369
2017,12.585,117.151
2017,20.9,72.719
2021,26.398,26.493
2019,21.771,50.757
2021,23.5,37.749
2020,22.828,42.642
2020,23.33,30.942
2016,14.492,72.411
2022,27.588,25.368
2021,24.98,25.99
2014,11.9,126.103
2020,22.25,64.093
2021,22.997,31.323
2020,20.99,68.49
2021,24.99,40.386
2021,24.998,30.752
2021,26.412,31.018
2017,15.8,66.551
2021,25.708,15.471
1999,5.775,233.688
2021,26.398,24.318
2023,31.9,9.245
2019,17.99,67.237
2020,21.8,41.628
2014,13.6,83.292
2021,25,48.653
2017,17.5,78.248
2020,24.695,22.002
2022,29.693,5.67
2017,15.185,42.083
2021,25.798,29.82
2020,26.697,29.235
2020,19.888,62.331
2014,14.495,104.072
2014,16.999,58.583
2020,21.99,42.173
2019,19.997,58.789
2016,13.995,110.84
2016,12.302,122.125
2021,29.995,17.3
2020,22.498,54.918
2015,13.99,135.921
2021,23.995,53.283
2019,18.616,87.815
2020,18.998,67.077
2019,18.788,80.693
2021,24.497,22.091
2020,23,42.331
2021,26.498,24.793
2016,13,104.857
2019,21.5,41.105
2021,25.998,25.767
2019,18.999,61.101
2017,20.995,33.602
2017,15.49,96.129
2021,25.995,29.736
2020,24.663,10.381
2018,14.5,79.541
2019,21.85,53.198
2016,13.068,126.197
2021,25.998,21.695
2016,12,171
2019,17.99,113.487
2017,20.998,42.755
2016,16.953,82.533
2019,20.9,59.028
2021,27.988,10.246
2021,26.971,38.535
2017,14.995,115.099
2021,22.75,34.394
2017,20.492,56.129
2023,30.45,1.591
2017,15.376,93.04
2020,25.5,20.086
2015,8.944,117.739
2019,20,54.619
2015,13.995,103.232
2017,14.798,102.137
2021,24.847,29.768
2022,28.756,14.011
2019,19.995,46.749
2015,14.56,63.024
2021,26.995,37.849
2022,28.9,10.99
2018,23.9,44.272
2021,26.995,25.671
2019,23.867,23.727
2019,22.998,24.667
2021,21.988,69.569
2014,16.98,88.08
2016,15.998,72.05
2019,23.998,42.446
2021,21.588,27.732
2021,24.995,26.502
2020,22.287,32.212
2019,19.9,28
2021,25.175,30.112
2022,31.995,16.672
2018,25.9,6.165
2015,10.495,137.769
2021,26.995,35.429
2021,24.542,25.303
2016,14.99,86.314
2021,24.9,19.627
2019,19.98,38.984
2021,26.5,31.403
2020,24.768,21.976
2020,21.995,63.4
2021,27.397,14.811
2016,8.933,112.601
2000,9.75,94.025
2015,10.99,133.556
2018,19.995,98.824
2021,25.995,13.603
2019,22.988,38.272
2019,16.988,106.652
2019,16.513,126.207
2016,12.653,93.123
2014,9.886,141
2020,26.995,26.812
