year,price,mileage
2021,36.997,40.137
2013,12.55,167.448
2020,34.5,36.851
2022,43.991,22.169
2022,64.7,21.524
2023,56.8,5.211
2022,39.811,3.498
2020,35.713,24.006
2016,19.779,118.208
2019,29.777,60.301
2019,29.488,77.03
2022,44.922,14.875
2021,38.3,38.633
2016,26.988,82.237
2020,31.25,42
2007,13.5,124.174
2022,47.987,25.615
2021,47.9,41.288
2019,39.988,38.35
2015,22.921,89.73
2019,39,35.709
2018,28.799,78.287
2021,37.4,39.204
2012,8,150.123
2021,45.495,38.709
2021,30.998,69.26
2021,49.896,20.189
2021,43.995,23.205
2023,57.997,2.358
2016,26.99,77.55
2020,45.673,18.121
2022,42.98,12.309
2022,44.9,35.177
2019,33.227,38.628
2021,41.987,29.371
2022,45,7.5
2022,44.997,44.637
2022,39.911,17.42
2022,38.5,62.902
2013,13.4,157.924
2021,36.497,11.621
2019,28.022,89.106
2020,35.988,56.648
2023,42.997,16.129
2017,35.085,95.382
2022,53.9,25.695
2021,38.985,39.239
2019,29.799,86.671
2016,25.452,94.829
2015,26.777,60.513
2020,33.988,37.177
2021,42.9,28.924
2023,50.9,10.746
2016,18.988,94.622
2014,22.995,93.975
2023,46.985,12.988
2016,32.314,78.535
2021,35.533,32.215
2018,33.98,31.62
2022,45.795,27.877
2020,37.931,31.779
2022,43.971,20
2012,31.968,59.336
2018,42.491,60.808
2021,41.99,27.339
2019,30.588,63.857
2020,37.898,57.705
2008,11.5,113.358
2022,42.995,22.909
2006,10,115
2022,75.352,15.431
2016,19.997,72.345
2021,39.212,15.648
2021,36.689,59.175
2022,34.997,44.495
2020,37,30.474
2023,79.85,0.949
2018,33,50.922
2021,47.988,24.876
2021,41.985,26.911
2020,36.176,78.96
2021,36.5,32.531
2021,39.997,36.076
2008,10.5,87.647
2015,29.89,89.04
2022,49.9,22.763
2021,37.5,39.433
2023,47.896,0.064
2019,33.9,48.109
2016,23.899,87.438
2011,16.417,91.374
2023,52.9,0.298
2011,24,90
2021,53,26.623
2017,27.886,53.549
2022,39,9.939
2019,34.5,38.383
2016,26.97,64.012
2021,44.159,66.673
2021,41.988,21.962
2020,42.5,25.186
2021,38.463,37.309
2018,27.998,46.661
2004,10.9,58.529
2021,37.9,34.753
2020,35.495,12.05
2022,41.9,22.371
2017,30.8,87.951
2014,21.519,71.506
2015,20.995,130.251
2014,23.992,82.06
2021,52.44,15.428
2021,57.9,19.352
2019,28.499,53.636
2021,39.975,19.881
2023,48.9,17.295
2021,35.699,18.366
2018,26.999,73
2021,34.755,40.344
2021,51.5,15.872
2023,57,15.882
2021,35.9,34.723
2020,28.988,40.164
2013,18,101.434
2020,43.495,24.151
2023,47.49,0.085
2018,26.488,102.876
2021,51,22.027
2019,26.99,98.454
2019,34.288,44.289
2022,53.9,5.207
2020,35.488,46.938
2022,42.9,15.697
2021,49.877,39.291
2019,33.999,13.139
2019,58.488,49.746
2023,52.2,2.827
2022,44.2,15.47
2021,38,25.272
2022,45.9,16.989
2023,53.497,3.217
2021,39.987,44.917
2022,44.997,13.847
2017,44.765,58.893
2021,40.985,37.755
2021,43.495,53.092
2023,47.5,0.061
2011,16.585,122.292
2023,46.988,16.965
2022,40.99,4.403
2019,32.535,51.173
2020,28.995,103.647
2018,38.99,51.52
2021,39.881,24.609
2014,36.5,79.961
2020,37.588,23.236
2023,59.985,9.425
2022,40.985,24.66
2017,46.988,54.546
2021,40.622,26.702
2021,37.899,40.265
2021,49.989,29.495
2022,42.995,22.376
2019,29.949,22.32
2021,36.395,29.931
2022,42.497,17.783
2020,34.97,29.815
2021,38.998,14.404
2019,28.788,61.733
2022,46.497,18.754
2021,35.398,61.732
2019,29.587,48.185
2020,41.888,22.643
2021,41.572,30.392
2022,39.9,24.443
2022,39.776,11.302
2021,36.395,54.629
2021,49.9,27.855
2020,38.549,25.621
2022,49.896,0.018
2021,46.497,22.468
2021,36.933,22.44
2022,44.9,28.147
2021,42.488,21.555
2016,26.078,107.398
2021,41.991,36.493
2019,28.5,48.791
2019,36.9,23.826
2021,41.5,25.639
2019,32.326,64.813
2022,41.755,19.776
2021,44.995,22.771
2023,45.992,5.558
2020,29.94,84.185
2022,41.671,17.79
